Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha)
92,Preluci,2007.0,,publică stat,47.538333333333334,24.230277777777776,1280.0,1420.0,Mara-mureş,OS.Groşii Ţibleşului,VI,115 B,1141.0,5.5,,
93,Preluci,2007.0,,publică stat,47.53444444444444,24.22972222222222,1020.0,1300.0,Mara-mureş,OS.Groşii Ţibleşului,VI,116 A,4131.0,16.2,,
94,Preluci,2007.0,,publică stat,47.53666666666666,24.234444444444446,1230.0,1460.0,Mara-mureş,OS.Groşii Ţibleşului,VI,116 B,1141.0,13.7,,
95,Preluci,2007.0,,publică stat,47.533055555555556,24.229444444444443,1020.0,1260.0,Mara-mureş,OS.Groşii Ţibleşului,VI,117 A,4114.0,5.9,,
96,Preluci,2007.0,,publică stat,47.53388888888889,24.238611111111112,1220.0,1450.0,Mara-mureş,OS.Groşii Ţibleşului,VI,117 B,1153.0,20.2,,
97,Preluci,2007.0,,publică stat,47.53333333333333,24.24388888888889,1420.0,1570.0,Mara-mureş,OS.Groşii Ţibleşului,VI,117 C,1154.0,10.5,,
98,Paulic,2016.0,,publică stat,47.525,24.281388888888888,980.0,1350.0,Mara-mureş,O.S. Poieni,III ,51,4142.0,13.04,,
99,Paulic,2016.0,,publică stat,47.87916666666667,24.468055555555555,960.0,1050.0,Mara-mureş,O.S. Poieni,III ,52A,1413.0,13.33,,
100,Paulic,2016.0,,publică stat,47.87833333333333,24.470277777777778,900.0,970.0,Mara-mureş,O.S. Poieni,III ,52E,1411.0,6.34,,
101,Paulic,2016.0,,publică stat,47.880833333333335,24.469166666666666,780.0,980.0,Mara-mureş,O.S. Poieni,III ,53A,1341.0,5.91,,
102,Paulic,2016.0,,publică stat,47.87833333333333,24.472777777777775,850.0,1050.0,Mara-mureş,O.S. Poieni,III ,53B,1341.0,9.75,,
103,Paulic,2016.0,,publică stat,47.87694444444445,24.480833333333333,860.0,1150.0,Mara-mureş,O.S. Poieni,III ,54B,1413.0,24.29,,
104,Paulic,2016.0,,publică stat,47.87555555555556,24.485277777777778,970.0,1050.0,Mara-mureş,O.S. Poieni,III ,54E,1411.0,7.28,,
105,Gura Socolou,2016.0,,publică stat,47.525,24.205555555555556,850.0,1250.0,Mara-mureş,O.S. Poieni,III ,55,1413.0,28.19,,
106,Gropşoara,2016.0,,publică stat,47.54277777777778,24.243333333333336,1150.0,1650.0,Mara-mureş,O.S. Poieni,IV ,53B,1341.0,16.61,,
107,Gropşoara,2016.0,,publică stat,47.91027777777778,24.489166666666666,1200.0,1280.0,Mara-mureş,O.S. Poieni,IV ,54B,1341.0,1.79,,
108,Gropşoara,2016.0,,publică stat,47.91361111111111,24.489166666666666,1000.0,1350.0,Mara-mureş,O.S. Poieni,IV ,55B,1341.0,15.1,,
109,Gropşoara,2016.0,,publică stat,47.91361111111111,24.489166666666666,1300.0,1500.0,Mara-mureş,O.S. Poieni,IV ,55C,1114.0,11.46,,
110,Răoaia,2007.0,,publică stat,47.600833333333334,24.081666666666667,700.0,1100.0,Mara-mureş,O.S. Strâmbu Băiuţ,IV,50,1311.0,34.5,,
111,Răoaia,2007.0,,publică stat,47.598333333333336,24.083333333333332,700.0,960.0,Mara-mureş,O.S. Strâmbu Băiuţ,IV,64A,4111.0,31.1,,
112,Ciormolina,2007.0,,publică stat,47.58722222222222,24.096944444444443,810.0,970.0,Mara-mureş,O.S. Strâmbu Băiuţ,IV,80A,4111.0,24.8,,
113,Ciormolina,2007.0,,publică stat,47.594166666666666,24.103611111111114,870.0,1150.0,Mara-mureş,O.S. Strâmbu Băiuţ,IV,83A,4111.0,24.0,,
114,Ciormolina,2007.0,,publică stat,47.593611111111116,24.107222222222223,870.0,1150.0,Mara-mureş,O.S. Strâmbu Băiuţ,IV,84,4111.0,15.3,,
115,Ciormolina,2007.0,,publică stat,47.586111111111116,24.10611111111111,870.0,1050.0,Mara-mureş,O.S. Strâmbu Băiuţ,IV,87,4111.0,35.7,,
116,Hlibochi,2015.0,,publică stat,47.743522222222225,25.559952777777777,920.0,1150.0,Suceava,OS Moldoviţa,III,301E,1311.0,21.05,,
117,Stujinoasa,2011.0,,publică stat,47.81516111111111,25.64710277777778,775.0,930.0,Suceava,OS Putna,II ,162A,1311.0,17.97,,
118,Mieluşoaia,2009.0,,publică stat,47.45686944444445,26.11035277777778,400.0,400.0,Suceava,OS Mălini,I,1A,5324.0,10.1,,
119,Mieluşoaia,2009.0,,publică stat,47.450522222222226,26.106108333333335,410.0,510.0,Suceava,OS Mălini,I,1E,5324.0,58.0,,
120,Ciribuc,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,1,1151.0,2.4,,
121,Ciribuc,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,2A,1153.0,5.6,,
122,Ciribuc,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,2B,1154.0,7.7,,
123,Ciribuc,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,3A,1153.0,16.8,,
124,Ciribuc,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,3B,1154.0,32.1,,
125,Pr. Calului,2011.0,,publică UAT,47.11237222222223,25.274480555555556,1450.0,1805.0,Suceava,com. Mărişelu/ O.S.Valea Şieului RA,IV,4A,1153.0,2.2,,
