Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha),geometry,tree_cover,loss_year
80,Izv.Mehadicii,2013,,publica stat,43.96079167,23.8533,1120.0,1120.0,Caras Severin,O.S. Mehadia,III,144V,,0.41,,,POINT (23.8533 43.96079167),0,0
81,Izv.Mehadicii,2013,,publica stat,43.95933889,23.85873333,1135.0,1215.0,Caras Severin,O.S. Mehadia,III,145A,4111.0,8.77,,,POINT (23.85873333 43.95933889),0,0
82,Izv.Mehadicii,2013,,publica stat,43.96095556,23.85899167,1130.0,1130.0,Caras Severin,O.S. Mehadia,III,145V,,0.55,,,POINT (23.85899167 43.96095556),0,0
83,Izv.Mehadicii,2013,,publica stat,43.95462778,23.85956389,1145.0,1260.0,Caras Severin,O.S. Mehadia,III,146A,4111.0,30.2,,,POINT (23.85956389 43.95462778),0,0
84,Izv.Mehadicii,2013,,publica stat,43.95217222,23.86247778,1205.0,1205.0,Caras Severin,O.S. Mehadia,III,146V,,0.15,,,POINT (23.86247778 43.95217222),0,0
85,Izv.Mehadicii,2013,,publica stat,43.95350833,23.86813333,1145.0,1285.0,Caras Severin,O.S. Mehadia,III,147A,4111.0,33.33,,,POINT (23.86813333 43.95350833),0,0
86,Izv.Mehadicii,2013,,publica stat,43.95426667,23.86485278,1215.0,1215.0,Caras Severin,O.S. Mehadia,III,147V,,0.36,,,POINT (23.86485278 43.95426667),0,0
87,Helisag,2015,,publica stat,44.98697778,22.08071389,400.0,720.0,Caras Severin,O.S. Nera,I,1,4241.0,38.35,,,POINT (22.08071389 44.98697778),95,0
88,Helisag,2015,,publica stat,44.98949722,22.07765833,410.0,740.0,Caras Severin,O.S. Nera,I,2,4241.0,49.35,,,POINT (22.07765833 44.98949722),85,0
89,Boii Mici,2015,,publica stat,45.06024444,22.02795833,760.0,1080.0,Caras Severin,O.S. Nera,I,121,4111.0,41.17,,,POINT (22.02795833 45.06024444),95,0
90,Boii Mici,2015,,publica stat,45.06047778,22.03157778,800.0,980.0,Caras Severin,O.S. Nera,I,122,4111.0,18.86,,,POINT (22.03157778 45.06047778),100,0
91,Boii Mici,2015,,publica stat,45.06017222,22.03905833,760.0,970.0,Caras Severin,O.S. Nera,I,123,4111.0,43.4,,,POINT (22.03905833 45.06017222),95,0
92,Boii Mari,2015,,publica stat,45.06139722,22.04238333,700.0,900.0,Caras Severin,O.S. Nera,I,124,4111.0,13.73,,,POINT (22.04238333 45.06139722),95,0
93,Cosava Mica,2015,,publica stat,45.06458611,22.04262222,700.0,970.0,Caras Severin,O.S. Nera,I,125,4111.0,53.2,,,POINT (22.04262222 45.06458611),99,0
94,Cosava Mica,2015,,publica stat,45.06555833,22.04078333,740.0,970.0,Caras Severin,O.S. Nera,I,126,4111.0,25.81,,,POINT (22.04078333 45.06555833),91,0
95,Cosava Mica,2015,,publica stat,45.06641944,22.03775833,780.0,1010.0,Caras Severin,O.S. Nera,I,127,4111.0,32.85,,,POINT (22.03775833 45.06641944),82,0
96,Cosava Mica,2015,,publica stat,45.06706944,22.03566389,780.0,1010.0,Caras Severin,O.S. Nera,I,128,4111.0,46.56,,,POINT (22.03566389 45.06706944),87,0
97,Cosava Mica,2015,,publica stat,45.06893889,22.02195278,830.0,1020.0,Caras Severin,O.S. Nera,I,129,4111.0,28.4,,,POINT (22.02195278 45.06893889),100,0
98,Cosava Mica,2015,,publica stat,45.07523611,22.0208,790.0,1020.0,Caras Severin,O.S. Nera,I,130,4111.0,43.39,,,POINT (22.0208 45.07523611),98,0
99,Cosava Mica,2015,,publica stat,45.07796944,22.02256944,790.0,1010.0,Caras Severin,O.S. Nera,I,131,4111.0,29.63,,,POINT (22.02256944 45.07796944),100,0
100,Cosava Mica,2015,,publica stat,45.08014722,22.01819722,830.0,1110.0,Caras Severin,O.S. Nera,I,132,4111.0,55.93,,,POINT (22.01819722 45.08014722),100,0
101,Cosava Mica,2015,,publica stat,45.08175278,22.016,880.0,1110.0,Caras Severin,O.S. Nera,I,133,4111.0,23.69,,,POINT (22.016 45.08175278),89,0
102,Cosava Mica,2015,,publica stat,45.08895833,22.00244444,960.0,1190.0,Caras Severin,O.S. Nera,I,134,4111.0,38.25,,,POINT (22.00244444 45.08895833),100,0
103,Cosava Mica,2015,,publica stat,45.09510278,22.00641111,890.0,1200.0,Caras Severin,O.S. Nera,I,135,4111.0,36.57,,,POINT (22.00641111 45.09510278),100,0
104,Cosava Mica,2015,,publica stat,45.09618056,22.00672778,900.0,1200.0,Caras Severin,O.S. Nera,I,136,4111.0,20.66,,,POINT (22.00672778 45.09618056),100,0
105,Cosava Mica,2015,,publica stat,45.09663056,22.00861944,900.0,1210.0,Caras Severin,O.S. Nera,I,137,4111.0,58.83,,,POINT (22.00861944 45.09663056),100,0
106,Cosava Mica,2015,,publica stat,45.08707778,22.01835556,830.0,1090.0,Caras Severin,O.S. Nera,I,138,4111.0,24.07,,,POINT (22.01835556 45.08707778),100,0
107,Cosava Mica,2015,,publica stat,45.08009722,22.02627222,780.0,980.0,Caras Severin,O.S. Nera,I,139,4111.0,28.55,,,POINT (22.02627222 45.08009722),94,0
108,Cosava Mica,2015,,publica stat,45.07424444,22.03294722,780.0,950.0,Caras Severin,O.S. Nera,I,140,4111.0,33.06,,,POINT (22.03294722 45.07424444),89,0
109,Cosava Mare,2015,,publica stat,45.11265,22.02241667,1150.0,1150.0,Caras Severin,O.S. Nera,II ,19,4111.0,0.97,,,POINT (22.02241667 45.11265),100,0
110,Cosava Mare,2015,,publica stat,45.11324167,22.02290278,1150.0,1200.0,Caras Severin,O.S. Nera,II ,20,4111.0,1.77,,,POINT (22.02290278 45.11324167),89,0
111,Cosava Mare,2015,,publica stat,45.11236944,22.02209167,1100.0,1250.0,Caras Severin,O.S. Nera,II ,24A,4111.0,11.8,,,POINT (22.02209167 45.11236944),100,0
112,Cosava Mare,2015,,publica stat,45.11353333,22.02311389,1100.0,1100.0,Caras Severin,O.S. Nera,II ,24B,4111.0,0.75,,,POINT (22.02311389 45.11353333),91,0
113,Cosava Mare,2015,,publica stat,45.1137,22.01496111,1100.0,1300.0,Caras Severin,O.S. Nera,II ,25A,4111.0,44.8,,,POINT (22.01496111 45.1137),95,0
114,Cosava Mare,2015,,publica stat,45.11458889,22.01894722,1100.0,1100.0,Caras Severin,O.S. Nera,II ,25B,4111.0,0.68,,,POINT (22.01894722 45.11458889),82,0
115,Cosava Mare,2015,,publica stat,45.11676944,22.01266389,1300.0,1300.0,Caras Severin,O.S. Nera,II ,25C,4114.0,2.27,,,POINT (22.01266389 45.11676944),100,0
116,Cosava Mare,2015,,publica stat,45.11798056,22.019225,1100.0,1300.0,Caras Severin,O.S. Nera,II ,28A,4111.0,28.67,,,POINT (22.019225 45.11798056),100,0
117,Cosava Mare,2015,,publica stat,45.12043889,22.01466944,1350.0,1350.0,Caras Severin,O.S. Nera,II ,28B,4114.0,1.54,,,POINT (22.01466944 45.12043889),88,0
118,Cosava Mare,2015,,publica stat,45.12106667,22.02288889,1100.0,1300.0,Caras Severin,O.S. Nera,II ,29A,4111.0,50.29,,,POINT (22.02288889 45.12106667),87,0
119,Cosava Mare,2015,,publica stat,45.12421389,22.0158,1300.0,1300.0,Caras Severin,O.S. Nera,II ,29B,4114.0,1.47,,,POINT (22.0158 45.12421389),95,0
120,Cosava Mare,2015,,publica stat,45.11713611,22.02899722,980.0,1150.0,Caras Severin,O.S. Nera,II ,31,4111.0,6.91,,,POINT (22.02899722 45.11713611),100,0
121,Cosava Mare,2015,,publica stat,45.11778056,22.03033056,1100.0,1250.0,Caras Severin,O.S. Nera,II ,32,4111.0,12.18,,,POINT (22.03033056 45.11778056),100,0
122,Cosava Mare,2015,,publica stat,45.11794444,22.03290556,1150.0,1200.0,Caras Severin,O.S. Nera,II ,33,4111.0,3.89,,,POINT (22.03290556 45.11794444),95,0
123,Cosava Mare,2015,,publica stat,45.06343889,22.055625,630.0,900.0,Caras Severin,O.S. Nera,II ,52A,4114.0,22.98,,,POINT (22.055625 45.06343889),95,0
124,Cosava Mare,2015,,publica stat,45.06726111,22.05374722,720.0,890.0,Caras Severin,O.S. Nera,II ,52B,4114.0,4.03,,,POINT (22.05374722 45.06726111),94,0
125,Cosava Mare,2015,,publica stat,45.05591944,22.06026667,740.0,740.0,Caras Severin,O.S. Nera,II ,52E,4114.0,1.07,,,POINT (22.06026667 45.05591944),0,0
126,Cosava Mare,2015,,publica stat,45.06914167,22.05566111,670.0,900.0,Caras Severin,O.S. Nera,II ,53,4111.0,16.5,,,POINT (22.05566111 45.06914167),90,0
127,Cosava Mare,2015,,publica stat,45.07381667,22.05538611,670.0,920.0,Caras Severin,O.S. Nera,II ,54A,4111.0,19.7,,,POINT (22.05538611 45.07381667),91,0
128,Cosava Mare,2015,,publica stat,45.06914722,22.05436111,890.0,890.0,Caras Severin,O.S. Nera,II ,54B,4111.0,1.54,,,POINT (22.05436111 45.06914722),89,0
129,Cosava Mare,2015,,publica stat,45.07020556,22.05373056,950.0,950.0,Caras Severin,O.S. Nera,II ,54C,4111.0,3.67,,,POINT (22.05373056 45.07020556),98,0
130,Cosava Mare,2015,,publica stat,45.07200833,22.05350278,690.0,1000.0,Caras Severin,O.S. Nera,II ,55,4111.0,25.26,,,POINT (22.05350278 45.07200833),100,0
131,Cosava Mare,2015,,publica stat,45.07503333,22.05459167,680.0,1000.0,Caras Severin,O.S. Nera,II ,56A,4111.0,26.1,,,POINT (22.05459167 45.07503333),89,0
132,Cosava Mare,2015,,publica stat,45.07557778,22.05239444,970.0,1030.0,Caras Severin,O.S. Nera,II ,56B,4111.0,4.7,,,POINT (22.05239444 45.07557778),85,0
133,Cosava Mare,2015,,publica stat,45.07581944,22.05541389,690.0,1000.0,Caras Severin,O.S. Nera,II ,57,4111.0,26.78,,,POINT (22.05541389 45.07581944),95,0
134,Cosava Mare,2015,,publica stat,45.08113056,22.06014444,700.0,1050.0,Caras Severin,O.S. Nera,II ,58A,4111.0,55.76,,,POINT (22.06014444 45.08113056),76,0
135,Cosava Mare,2015,,publica stat,45.08574167,22.04926389,1050.0,1050.0,Caras Severin,O.S. Nera,II ,58B,4111.0,7.52,,,POINT (22.04926389 45.08574167),96,0
